userName,score,content,at,sentiment
Mohammad Sahnawaz Alam,1,why do I need to update everyday?,2025-05-02 02:17:59,-0.2
Anatolii Husarov,1,"Pricing policy is awful - no respect to ""fair pricing."" I would not be surprise if they violate the surgarge policy of PayPal or GooglePay. And for all the pricing issues, they will blame hosts. But, the host does not have settings to put higher prices for logged in members, for members with certain payment methods, or for members who behave in a certain way.",2025-05-02 01:56:00,0.0757142857142857
apeksha Pathare,5,nice app..low budget,2025-05-02 01:26:49,0.6
Wisdom Walter,5,Great app,2025-05-02 01:17:38,0.8
Vala Kamlesh,1,its a fraud website and im suffering right now dont book guys through this platform ..please send your helpline number if you're doing right things,2025-05-02 00:36:42,0.2857142857142857
Di Stilgoe,5,always had good service from airbnb,2025-05-01 23:22:57,0.7
Rizwan Chand,5,Great experience,2025-05-01 23:10:58,0.8
sally egler,1,"I have been a user for years but yesterday I had the worst experience. My parents (70+) booked a place, it was dirty, impossible to lock the door and damaged: the place was a real tip! At that point, I was still confident, I warned airbnb and I thought they would provide me with some assistance. They told me not to worry and that they would call me back. Nobody ever called me back, what is the point of the airbnb cover if it dosen't do anything???",2025-05-01 22:48:06,-0.21666666666666665
Beverly Hatcher,5,wonderful stay very quiet. Beautiful place and very clean,2025-05-01 22:42:29,0.5816666666666667
Gay swales,5,fabulous easy and so reliable,2025-05-01 22:03:20,0.4166666666666667
Stanislav Lipovenko,1,"I was writing a review, then switched to another ap and when got back all the text was gone. So I had to type it again",2025-05-01 21:17:59,0.0
Dewi Jones,5,So far so good :),2025-05-01 21:07:02,0.4333333333333333
Adnan Aslam,5,great,2025-05-01 20:58:57,0.8
sanjay Kumar,5,This app gives good property,2025-05-01 20:43:34,0.7
Pete Goodchild,5,Exvellent,2025-05-01 20:21:37,0.0
Om Singh,5,Only third party booking app which provides so much assistance to the guests,2025-05-01 20:04:48,0.06666666666666667
Eray Ercan,5,easy and quick to find where to stay,2025-05-01 19:28:26,0.3833333333333333
Alison Jenkinson,5,Really easy to use.,2025-05-01 19:25:36,0.43333333333333335
